fold,epoch,loss,auc,pr_auc,f1_0p5,f1_thr,thr,pred_pos
4,1,0.08096498273230707,0.8421767210699114,0.5840413398494797,0.5218988155357634,0.5535777105466826,0.4339275360107422,0.1711358286795588
4,2,0.06945715677922912,0.8506688190372833,0.6091939301145978,0.5361030478955007,0.5747159293932681,0.4393244683742523,0.16605898370794295
4,3,0.06391772250942776,0.8610735758422229,0.6239137287412639,0.5594454072790295,0.5849083416228507,0.4410208463668823,0.1679281857202197
4,4,0.05981162317766226,0.8611648089039021,0.6283637344616726,0.5568766637089618,0.5883780696744717,0.4322035610675812,0.16640513222873493
4,5,0.05667008894211664,0.8628310615648648,0.6343294835979055,0.5580095555755882,0.588593263515426,0.4115670919418335,0.16926662666728204
4,6,0.053574268184930864,0.8624735767095751,0.6311091889712799,0.5648026603658003,0.590845844013182,0.4441666603088379,0.15825910370609683
4,7,0.05116916304123906,0.8585975849617602,0.6255656962562873,0.5501266739051756,0.5831603913430181,0.42395520210266113,0.15449762311349055
4,8,0.048340938288862365,0.8587094267010964,0.6255114679453376,0.5734113712374582,0.589094665387737,0.4551924169063568,0.15590529376471132
4,9,0.046435686603061105,0.8603583041287473,0.6270435351598824,0.5878003696857671,0.5878983698046703,0.48399001359939575,0.15740527068814325
4,10,0.04409003127132758,0.8607677516024083,0.6295348075026581,0.5804679044209474,0.5866451186365974,0.4463489353656769,0.15728988784787926
4,11,0.04226896380625738,0.8567067528801986,0.6184666301560208,0.5774227386427823,0.5835437397890985,0.46939754486083984,0.1538976323441178
4,12,0.040206266299105155,0.8536751471375226,0.6150355180750681,0.5677707111588337,0.5725230977240291,0.45861130952835083,0.1503669174320395
4,13,0.03851503007842398,0.8554484980789937,0.6113168481067117,0.5787876545037377,0.5777039776586912,0.5072330236434937,0.14889001707666036
4,14,0.03699296828747267,0.8498145273371391,0.6029485699732651,0.5591328264034946,0.5677536506014981,0.4712772071361542,0.14815156689897077
4,15,0.03543703135970069,0.8553343389707649,0.6173319223929485,0.5774159748529056,0.5802681848827628,0.46482163667678833,0.15119767388194028
4,16,0.03390196487221936,0.8537236810163423,0.6115992429470138,0.575974899148364,0.5763653193458809,0.5128287076950073,0.1423131951816126
4,17,0.032317640665301545,0.8562107735232805,0.619038844564141,0.5734151329243353,0.5835192736785412,0.46415838599205017,0.14307472192735496
4,18,0.03100985886985543,0.8529092859121782,0.6137013405625857,0.5746515188139554,0.5775620116817113,0.4639640748500824,0.14736696358517562
4,19,0.03018104018612464,0.853154260595054,0.6117733622858892,0.580284316010254,0.5812149604485063,0.4940811097621918,0.14362855956062215
4,20,0.02898832485228329,0.8527297794172052,0.6093435004908763,0.5661137059107747,0.5732818532818533,0.4738064110279083,0.1419901232288734
