fold,epoch,loss,auc,pr_auc,f1_0p5,f1_thr,thr,pred_pos
3,1,0.08200400369223754,0.8557035835940574,0.6939684858113253,0.5635646909756441,0.6294079931609319,0.4294189512729645,0.20926467281313244
3,2,0.07050130869501645,0.8690401364474322,0.7167865382064298,0.5700374003246066,0.6456676542439835,0.3951585292816162,0.22102541038902632
3,3,0.06550892093978689,0.8690589322206415,0.7197887257147375,0.5954208845709626,0.6425313889983673,0.44580700993537903,0.18778952102541038
3,4,0.06118842790147125,0.872276448208112,0.7236196411960758,0.607060376113494,0.6449831575459716,0.4480099380016327,0.19561502136271644
3,5,0.05795976388925825,0.8703980424024884,0.721004894049639,0.6063414311246442,0.6473725141650928,0.4463793933391571,0.19320890487969417
3,6,0.05511832262240645,0.8791688788553159,0.7375431497881639,0.6300451321727918,0.6638059085657699,0.44056612253189087,0.197144142118282
3,7,0.0527793544732164,0.87316133932842,0.7275699310615413,0.6295285832117251,0.6566805160726,0.44737544655799866,0.19973015516078255
3,8,0.05028496616709279,0.8686884317941674,0.7175130036498385,0.6115502294747578,0.6409363402797602,0.4555959105491638,0.18225770182145268
3,9,0.047988647705670615,0.8696192666223319,0.7176797241440107,0.6261390740627485,0.6416595623756749,0.47545647621154785,0.18405666741623566
3,10,0.04634598970717912,0.8675830366403913,0.714062559481347,0.6117065127782357,0.6372268619151127,0.46129992604255676,0.18151562851360467
3,11,0.04458889545785606,0.8699350074231331,0.7227381998661113,0.6146202980837473,0.6451288918647472,0.4354662597179413,0.19140993928491118
3,12,0.04233744432336234,0.8656773252835734,0.7163967743163829,0.6126998280364307,0.6379511059371362,0.44119778275489807,0.1940409264672813
3,13,0.04086478112322828,0.8610245121010105,0.7041668931467057,0.6113287322017037,0.6259699948266942,0.4639585018157959,0.17960422756914773
3,14,0.0393007538202471,0.8636763316931109,0.708898965750783,0.6111666250312265,0.631121281464531,0.4604147672653198,0.1814706543737351
3,15,0.03755530564529702,0.8610219159746189,0.7025943883520831,0.6069321533923304,0.6237238422922895,0.4561273157596588,0.1870699347874972
3,16,0.0363408265201673,0.8626298426926241,0.7072395118904,0.6187270501835985,0.6268429674701614,0.4788631498813629,0.17274567123903756
3,17,0.03493976011902843,0.8656002416989124,0.7086027118367111,0.6175053369929857,0.6278098724475204,0.46503371000289917,0.18153811558353947
3,18,0.033548328559709295,0.8625808254621044,0.707255282049334,0.6183807176774659,0.6259038583906982,0.4780329763889313,0.17713064987632113
3,19,0.03229652841803839,0.8596522251515998,0.7014914812096087,0.6071874220114799,0.623579874797125,0.4540233612060547,0.17634360242860356
3,20,0.03143600848547938,0.8564177775096948,0.6953550698060327,0.5955347542849915,0.6140920152972534,0.44188421964645386,0.17647852484821228
