n,roc_auc,pr_auc,acc,precision,recall,f1,fold,thr,f1_0p5,recall_0p5,precision_0p5
30574,0.835062073212206,0.6059587750268626,0.851867599921502,0.6147833854399285,0.49541119308979664,0.5486796213253612,1,0.468128502368927,0.5340558920412284,0.4522224221702357,0.6520498183705241
33630,0.8637807825582734,0.6400695901517441,0.8672911091287541,0.5994323557237464,0.5745375408052231,0.5867209926845078,2,0.48027488589286804,0.5845206006931074,0.5505984766050055,0.6228970045137464
44470,0.8564177775096948,0.6953550698060327,0.8502361142343152,0.675203873598369,0.563124335812965,0.6140920152972534,3,0.44188421964645386,0.5955347542849915,0.5003188097768332,0.735510076550539
43334,0.8527297794172052,0.6093435004908763,0.8724788849402317,0.6032829514058183,0.5461232896866265,0.5732818532818533,4,0.4738064110279083,0.5661137059107747,0.517139914668236,0.62533357053905
39271,0.8710163838160981,0.7092284784846954,0.8581905222683405,0.6890478811227297,0.6021401947817723,0.6426692332370869,5,0.48949164152145386,0.6417657045840407,0.5908380425634243,0.7023009861369158
